trade_date,close_x,pct_chg_x,vol_x,close_y,pct_chg_y,vol_y
20191227,3005.0355,-0.0771,247102779.0,4022.0278,-0.0984,150926411.0
20191230,3040.0239,1.1643,248066530.0,4081.6334,1.482,155971488.0
20191231,3050.124,0.3322,217429022.0,4096.5821,0.3662,123264258.0
20200102,3085.1976,1.1499,292470208.0,4152.2408,1.3587,182116772.0
20200103,3083.7858,-0.0458,261496667.0,4144.9649,-0.1752,142826244.0
20200106,3083.4083,-0.0122,312575842.0,4129.2954,-0.378,175309953.0
20200107,3104.8015,0.6938,276583111.0,4160.2274,0.7491,139489031.0
20200108,3066.8925,-1.221,297872553.0,4112.3172,-1.1516,167585850.0
20200109,3094.8819,0.9126,243435649.0,4164.3697,1.2658,136886324.0
20200110,3092.2907,-0.0837,210442462.0,4163.1849,-0.0285,113031719.0
20200113,3115.5696,0.7528,210621004.0,4203.9883,0.9801,119691982.0
20200114,3106.8204,-0.2808,229973769.0,4189.8862,-0.3354,129320783.0
20200115,3090.0379,-0.5402,202313023.0,4166.7344,-0.5526,104633136.0
20200116,3074.0814,-0.5164,203375475.0,4149.0434,-0.4246,100267642.0
20200117,3075.4955,0.046,190304299.0,4154.853,0.14,98725682.0
20200120,3095.7873,0.6598,210493341.0,4185.8304,0.7456,122409147.0
20200121,3052.1419,-1.4098,234830739.0,4114.3085,-1.7087,130527507.0
20200122,3060.7545,0.2822,223852865.0,4131.9311,0.4283,126758763.0
20200123,2976.5281,-2.7518,272763234.0,4003.9013,-3.0985,160357603.0
20200203,2746.6056,-7.7245,215912103.0,3688.3578,-7.8809,157559647.0
20200204,2783.2875,1.3355,364046200.0,3785.6376,2.6375,213933328.0
20200205,2818.0878,1.2503,309761823.0,3828.5272,1.133,174925524.0
20200206,2866.5097,1.7183,316392142.0,3899.7751,1.861,176462235.0
20200207,2875.9636,0.3298,309479642.0,3899.8693,0.0024,151731759.0
20200210,2890.4878,0.505,294929784.0,3916.0052,0.4138,148406969.0
20200211,2901.6744,0.387,269168335.0,3952.4643,0.931,143441674.0
20200212,2926.8991,0.8693,248733429.0,3984.4325,0.8088,126710321.0
20200213,2906.0735,-0.7115,274804844.0,3959.9188,-0.6152,145001843.0
20200214,2917.0077,0.3763,250650627.0,3987.7342,0.7024,143239803.0
20200217,2983.6224,2.2837,313198007.0,4077.4241,2.2491,182778969.0
20200218,2984.9716,0.0452,311665913.0,4057.5108,-0.4884,163236220.0
20200219,2975.4019,-0.3206,315141151.0,4051.3107,-0.1528,169046441.0
20200220,3030.1542,1.8402,345732881.0,4144.6561,2.3041,212232624.0
20200221,3039.6692,0.314,364557276.0,4149.4903,0.1166,217213604.0
20200224,3031.2333,-0.2775,370430044.0,4132.8388,-0.4013,212869303.0
20200225,3013.0501,-0.5999,441622762.0,4123.8543,-0.2174,244167831.0
20200226,2987.9287,-0.8338,469049552.0,4073.0152,-1.2328,261094061.0
20200227,2991.3288,0.1138,350523658.0,4084.8759,0.2912,181290981.0
20200228,2880.3038,-3.7116,401216914.0,3940.0488,-3.5454,230275093.0
20200302,2970.9312,3.1465,367333369.0,4069.6662,3.2897,219313559.0
20200303,2992.8968,0.7394,410108047.0,4091.3615,0.5331,219369777.0
20200304,3011.6657,0.6271,353338278.0,4115.0524,0.579,182424730.0
20200305,3071.6771,1.9926,445425806.0,4206.7251,2.2277,231823115.0
20200306,3034.5113,-1.21,362061533.0,4138.5072,-1.6216,172475717.0
20200309,2943.2907,-3.0061,414560736.0,3997.1325,-3.4161,208102035.0
20200310,2996.7618,1.8167,393296648.0,4082.7315,2.1415,197416402.0
20200311,2968.5174,-0.9425,352470970.0,4028.4289,-1.3301,161656111.0
20200312,2923.4856,-1.517,307778457.0,3950.9111,-1.9243,157060458.0
20200313,2887.4265,-1.2334,366450436.0,3895.3128,-1.4072,188296722.0
20200316,2789.2537,-3.4,351878665.0,3727.8398,-4.2993,185968260.0
20200317,2779.6407,-0.3446,306149677.0,3709.6822,-0.4871,166246129.0
20200318,2728.7563,-1.8306,291159852.0,3636.2565,-1.9793,155037547.0
20200319,2702.1296,-0.9758,302302747.0,3589.0926,-1.297,180807407.0
20200320,2745.6182,1.6094,252019507.0,3653.2239,1.7868,139603000.0
20200323,2660.1674,-3.1123,249820250.0,3530.3058,-3.3646,137108790.0
20200324,2722.4381,2.3409,257021930.0,3625.1146,2.6856,143103021.0
20200325,2781.5913,2.1728,273144466.0,3722.5181,2.6869,153495958.0
20200326,2764.9109,-0.5997,234084022.0,3698.0472,-0.6574,112310665.0
20200327,2772.2033,0.2637,240764066.0,3710.0605,0.3249,124060995.0
20200330,2747.2138,-0.9014,239706604.0,3674.1108,-0.969,126876673.0
20200331,2750.2962,0.1122,218598674.0,3686.1551,0.3278,111453025.0
20200401,2734.5215,-0.5736,217253427.0,3675.0758,-0.3006,119352620.0
20200402,2780.6379,1.6865,217864600.0,3734.5306,1.6178,115168209.0
20200403,2763.9874,-0.5988,200837404.0,3713.2183,-0.5707,99825083.0
20200407,2820.7634,2.0541,270198186.0,3798.0214,2.2838,142778030.0
20200408,2815.3686,-0.1913,243515305.0,3780.3445,-0.4654,111389513.0
20200409,2825.9036,0.3742,238184843.0,3792.8105,0.3298,100485032.0
20200410,2796.6312,-1.0359,233454768.0,3769.1782,-0.6231,102444956.0
20200413,2783.0476,-0.4857,177124554.0,3753.2566,-0.4224,79053343.0
20200414,2827.283,1.5895,202696569.0,3825.6991,1.9301,110637585.0
20200415,2811.1741,-0.5698,205621146.0,3797.3623,-0.7407,108461984.0
20200416,2819.935,0.3116,203003773.0,3802.3806,0.1322,95947965.0
20200417,2838.4945,0.6582,245736750.0,3839.4871,0.9759,132004301.0
20200420,2852.5528,0.4953,211847078.0,3853.4551,0.3638,100013115.0
20200421,2827.0133,-0.8953,233235870.0,3808.0474,-1.1784,102921888.0
20200422,2843.9804,0.6002,217320000.0,3839.3834,0.8229,85899464.0
20200423,2838.4994,-0.1927,248779037.0,3829.7525,-0.2508,95508450.0
20200424,2808.5293,-1.0558,235185076.0,3796.9721,-0.8559,94844135.0
20200427,2815.4947,0.248,210130981.0,3822.769,0.6794,95462735.0
20200428,2810.0243,-0.1943,253872745.0,3849.1465,0.69,122093476.0
20200429,2822.4424,0.4419,202061807.0,3867.032,0.4647,95854590.0
20200430,2860.0822,1.3336,242455278.0,3912.5772,1.1778,132917125.0
20200506,2878.1402,0.6314,249826616.0,3936.2539,0.6051,139855675.0
20200507,2871.5232,-0.2299,226736957.0,3924.8946,-0.2886,105514646.0
20200508,2895.3444,0.8296,226822075.0,3963.6217,0.9867,116943341.0
20200511,2894.802,-0.0187,225120410.0,3960.1803,-0.0868,122673803.0
20200512,2891.5564,-0.1121,197082985.0,3960.2378,0.0015,98250554.0
20200513,2898.0495,0.2246,185061310.0,3968.2529,0.2024,88190669.0
20200514,2870.3422,-0.9561,197776202.0,3925.2177,-1.0845,88530004.0
20200515,2868.4587,-0.0656,188983592.0,3912.8159,-0.316,92618382.0
20200518,2875.4176,0.2426,226022882.0,3922.9117,0.258,112801762.0
20200519,2898.576,0.8054,197222405.0,3956.2495,0.8498,94015291.0
20200520,2883.7378,-0.5119,210519985.0,3935.222,-0.5315,100791150.0
20200521,2867.9237,-0.5484,203532038.0,3913.7949,-0.5445,94861033.0
20200522,2813.7654,-1.8884,209063712.0,3824.064,-2.2927,103378360.0
20200525,2817.9697,0.1494,172885557.0,3829.3245,0.1376,79033326.0
20200526,2846.5473,1.0141,174562369.0,3872.7701,1.1345,77448076.0
20200527,2836.8036,-0.3423,198149343.0,3845.6135,-0.7012,83711831.0
20200528,2846.2217,0.332,207546019.0,3856.6324,0.2865,93064054.0
20200529,2852.3512,0.2154,206792804.0,3867.0232,0.2694,93813832.0
20200601,2915.4311,2.2115,260196050.0,3971.3402,2.6976,136456652.0
20200602,2921.398,0.2047,256108049.0,3983.5677,0.3079,144303060.0
20200603,2923.3711,0.0675,255663980.0,3983.6477,0.002,136597483.0
20200604,2919.2506,-0.141,226605873.0,3982.1851,-0.0367,104277737.0
20200605,2930.7993,0.3956,217360673.0,4001.2509,0.4788,102443942.0
20200608,2937.7712,0.2379,231124360.0,4021.9549,0.5174,137925813.0
20200609,2956.1116,0.6243,209048585.0,4047.0293,0.6234,115304479.0
20200610,2943.7525,-0.4181,207925969.0,4039.7051,-0.181,112265728.0
20200611,2920.8968,-0.7764,233722947.0,3995.8846,-1.0847,127308941.0
20200612,2919.7408,-0.0396,236008642.0,4003.0829,0.1801,134166649.0
20200615,2890.0306,-1.0176,243205046.0,3954.9883,-1.2014,131297860.0
20200616,2931.7493,1.4435,223313065.0,4014.5702,1.5065,111051539.0
20200617,2935.873,0.1407,234654391.0,4017.5941,0.0753,105605799.0
20200618,2939.3151,0.1172,258691377.0,4044.3842,0.6668,138148761.0
20200619,2967.6341,0.9635,264313961.0,4098.7095,1.3432,152946990.0
20200622,2965.2717,-0.0796,267883834.0,4102.0459,0.0814,155829465.0
20200623,2970.6203,0.1804,225212208.0,4121.7944,0.4814,129229510.0
20200624,2979.5505,0.3006,213200732.0,4138.9895,0.4172,121712465.0
20200629,2961.5164,-0.6053,220622729.0,4109.7164,-0.7073,130865854.0
20200630,2984.6741,0.782,214957214.0,4163.9637,1.32,125933521.0
20200701,3025.981,1.384,273313140.0,4247.7835,2.013,169990456.0
20200702,3090.5693,2.1345,391127996.0,4335.8445,2.0731,252939368.0
20200703,3152.8126,2.014,458793851.0,4419.5955,1.9316,290485539.0
20200706,3332.8807,5.7113,643878906.0,4670.0949,5.6679,405821025.0
20200707,3345.3369,0.3737,657840159.0,4698.1264,0.6002,406008553.0
20200708,3403.4401,1.7368,587081685.0,4774.0042,1.6151,348074847.0
20200709,3450.5935,1.3855,620001823.0,4840.7712,1.3986,351046893.0
20200710,3383.3222,-1.9496,556120011.0,4753.1333,-1.8104,316949651.0
20200713,3443.2863,1.7723,558006875.0,4852.9612,2.1003,321645446.0
20200714,3414.6186,-0.8326,543211492.0,4806.6902,-0.9535,297241985.0
20200715,3361.3044,-1.5614,492030542.0,4744.4687,-1.2945,272389006.0
20200716,3210.0986,-4.4984,490613123.0,4516.2532,-4.8101,284657133.0
20200717,3214.1287,0.1255,359652413.0,4544.7007,0.6299,207375563.0
20200720,3314.149,3.1119,418555306.0,4680.3046,2.9838,246068914.0
20200721,3320.8947,0.2035,359252029.0,4691.0425,0.2294,200415659.0
20200722,3333.1635,0.3694,393335335.0,4714.4454,0.4989,224199211.0
20200723,3325.1102,-0.2416,407042499.0,4712.4357,-0.0426,234314569.0
20200724,3196.7684,-3.8598,427054026.0,4505.5906,-4.3893,243905203.0
